time,value
1544828839,807.000
1544858585,782.000
1544858648,790.000
1544858709,801.000
1544858771,766.000
1544858832,779.000
1544858895,794.000
1544858957,798.000
1544859020,794.000
1544859083,792.000
1544859146,794.000
1544859209,792.000
1544859272,794.000
1544859334,800.000
1544859397,781.000
1544859460,791.000
1544859521,787.000
1544859584,801.000
1544859647,794.000
1544859710,770.000
1544859773,790.000
1544859836,803.000
1544859897,789.000
1544859960,792.000
1544860022,774.000
1544860085,805.000
1544860148,792.000
1544860211,791.000
1544860274,794.000
1544860336,796.000
1544860399,793.000
1544860462,792.000
1544860525,791.000
1544860588,800.000
1544860651,795.000
1544860713,798.000
1544860776,783.000
1544860839,782.000
1544860902,793.000
1544860961,796.000
1544861024,792.000
1544861087,797.000
1544861150,810.000
1544861213,790.000
1544861275,791.000
1544861338,784.000
1544861401,801.000
1544861464,786.000
